"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Alberta","2016A000248","Men+","All ages","Persons","249","units","0","v469504","10.2.1","2461497","","","","0"
"2024","Alberta","2016A000248","Men+","0 to 4 years","Persons","249","units","0","v469720","10.2.7","133238","","","","0"
"2024","Alberta","2016A000248","Men+","5 to 9 years","Persons","249","units","0","v469534","10.2.13","155462","","","","0"
"2024","Alberta","2016A000248","Men+","10 to 14 years","Persons","249","units","0","v469552","10.2.19","157112","","","","0"
"2024","Alberta","2016A000248","Men+","15 to 19 years","Persons","249","units","0","v469573","10.2.25","154793","","","","0"
"2024","Alberta","2016A000248","Men+","20 to 24 years","Persons","249","units","0","v469594","10.2.31","160609","","","","0"
"2024","Alberta","2016A000248","Men+","25 to 29 years","Persons","249","units","0","v469612","10.2.37","175787","","","","0"
"2024","Alberta","2016A000248","Men+","30 to 34 years","Persons","249","units","0","v469633","10.2.43","194610","","","","0"
"2024","Alberta","2016A000248","Men+","35 to 39 years","Persons","249","units","0","v469651","10.2.49","202076","","","","0"
"2024","Alberta","2016A000248","Men+","40 to 44 years","Persons","249","units","0","v469672","10.2.55","192394","","","","0"
"2024","Alberta","2016A000248","Men+","45 to 49 years","Persons","249","units","0","v469693","10.2.61","163685","","","","0"
"2024","Alberta","2016A000248","Men+","50 to 54 years","Persons","249","units","0","v469711","10.2.67","146611","","","","0"
"2024","Alberta","2016A000248","Men+","55 to 59 years","Persons","249","units","0","v469732","10.2.73","134024","","","","0"
"2024","Alberta","2016A000248","Men+","60 to 64 years","Persons","249","units","0","v469750","10.2.79","141709","","","","0"
"2024","Alberta","2016A000248","Men+","65 to 69 years","Persons","249","units","0","v469771","10.2.85","126061","","","","0"
"2024","Alberta","2016A000248","Men+","70 to 74 years","Persons","249","units","0","v469774","10.2.86","92681","","","","0"
"2024","Alberta","2016A000248","Men+","75 to 79 years","Persons","249","units","0","v469777","10.2.87","64407","","","","0"
"2024","Alberta","2016A000248","Men+","80 to 84 years","Persons","249","units","0","v469780","10.2.88","37182","","","","0"
"2024","Alberta","2016A000248","Men+","85 to 89 years","Persons","249","units","0","v469783","10.2.89","19298","","","","0"
"2024","Alberta","2016A000248","Men+","90 to 94 years","Persons","249","units","0","v31226888","10.2.126","7944","","","","0"
"2024","Alberta","2016A000248","Men+","95 to 99 years","Persons","249","units","0","v31226894","10.2.132","1625","","","","0"
"2024","Alberta","2016A000248","Men+","100 years and older","Persons","249","units","0","v31226900","10.2.138","189","","","","0"
"2024","Alberta","2016A000248","Men+","Median age","Years","308","units","0","v469525","10.2.105","37.5","","","","1"


