"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","British Columbia","2016A000259","Men+","All ages","Persons","249","units","0","v469819","11.2.1","2826107","","","","0"
"2024","British Columbia","2016A000259","Men+","0 to 4 years","Persons","249","units","0","v470035","11.2.7","111868","","","","0"
"2024","British Columbia","2016A000259","Men+","5 to 9 years","Persons","249","units","0","v469849","11.2.13","133614","","","","0"
"2024","British Columbia","2016A000259","Men+","10 to 14 years","Persons","249","units","0","v469867","11.2.19","141015","","","","0"
"2024","British Columbia","2016A000259","Men+","15 to 19 years","Persons","249","units","0","v469888","11.2.25","156506","","","","0"
"2024","British Columbia","2016A000259","Men+","20 to 24 years","Persons","249","units","0","v469909","11.2.31","197429","","","","0"
"2024","British Columbia","2016A000259","Men+","25 to 29 years","Persons","249","units","0","v469927","11.2.37","223777","","","","0"
"2024","British Columbia","2016A000259","Men+","30 to 34 years","Persons","249","units","0","v469948","11.2.43","238401","","","","0"
"2024","British Columbia","2016A000259","Men+","35 to 39 years","Persons","249","units","0","v469966","11.2.49","219250","","","","0"
"2024","British Columbia","2016A000259","Men+","40 to 44 years","Persons","249","units","0","v469987","11.2.55","198310","","","","0"
"2024","British Columbia","2016A000259","Men+","45 to 49 years","Persons","249","units","0","v470008","11.2.61","169938","","","","0"
"2024","British Columbia","2016A000259","Men+","50 to 54 years","Persons","249","units","0","v470026","11.2.67","165491","","","","0"
"2024","British Columbia","2016A000259","Men+","55 to 59 years","Persons","249","units","0","v470047","11.2.73","165305","","","","0"
"2024","British Columbia","2016A000259","Men+","60 to 64 years","Persons","249","units","0","v470065","11.2.79","180297","","","","0"
"2024","British Columbia","2016A000259","Men+","65 to 69 years","Persons","249","units","0","v470086","11.2.85","164905","","","","0"
"2024","British Columbia","2016A000259","Men+","70 to 74 years","Persons","249","units","0","v470089","11.2.86","137504","","","","0"
"2024","British Columbia","2016A000259","Men+","75 to 79 years","Persons","249","units","0","v470092","11.2.87","105600","","","","0"
"2024","British Columbia","2016A000259","Men+","80 to 84 years","Persons","249","units","0","v470095","11.2.88","64195","","","","0"
"2024","British Columbia","2016A000259","Men+","85 to 89 years","Persons","249","units","0","v470098","11.2.89","34466","","","","0"
"2024","British Columbia","2016A000259","Men+","90 to 94 years","Persons","249","units","0","v31226927","11.2.126","14565","","","","0"
"2024","British Columbia","2016A000259","Men+","95 to 99 years","Persons","249","units","0","v31226933","11.2.132","3297","","","","0"
"2024","British Columbia","2016A000259","Men+","100 years and older","Persons","249","units","0","v31226939","11.2.138","374","","","","0"
"2024","British Columbia","2016A000259","Men+","Median age","Years","308","units","0","v469840","11.2.105","39.8","","","","1"


