"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Ontario","2016A000235","Men+","All ages","Persons","249","units","0","v468559","7.2.1","8037211","","","","0"
"2024","Ontario","2016A000235","Men+","0 to 4 years","Persons","249","units","0","v468775","7.2.7","365465","","","","0"
"2024","Ontario","2016A000235","Men+","5 to 9 years","Persons","249","units","0","v468589","7.2.13","414887","","","","0"
"2024","Ontario","2016A000235","Men+","10 to 14 years","Persons","249","units","0","v468607","7.2.19","431713","","","","0"
"2024","Ontario","2016A000235","Men+","15 to 19 years","Persons","249","units","0","v468628","7.2.25","474683","","","","0"
"2024","Ontario","2016A000235","Men+","20 to 24 years","Persons","249","units","0","v468649","7.2.31","625569","","","","0"
"2024","Ontario","2016A000235","Men+","25 to 29 years","Persons","249","units","0","v468667","7.2.37","676912","","","","0"
"2024","Ontario","2016A000235","Men+","30 to 34 years","Persons","249","units","0","v468688","7.2.43","657185","","","","0"
"2024","Ontario","2016A000235","Men+","35 to 39 years","Persons","249","units","0","v468706","7.2.49","582640","","","","0"
"2024","Ontario","2016A000235","Men+","40 to 44 years","Persons","249","units","0","v468727","7.2.55","521103","","","","0"
"2024","Ontario","2016A000235","Men+","45 to 49 years","Persons","249","units","0","v468748","7.2.61","469520","","","","0"
"2024","Ontario","2016A000235","Men+","50 to 54 years","Persons","249","units","0","v468766","7.2.67","469491","","","","0"
"2024","Ontario","2016A000235","Men+","55 to 59 years","Persons","249","units","0","v468787","7.2.73","483700","","","","0"
"2024","Ontario","2016A000235","Men+","60 to 64 years","Persons","249","units","0","v468805","7.2.79","515439","","","","0"
"2024","Ontario","2016A000235","Men+","65 to 69 years","Persons","249","units","0","v468826","7.2.85","436616","","","","0"
"2024","Ontario","2016A000235","Men+","70 to 74 years","Persons","249","units","0","v468829","7.2.86","343378","","","","0"
"2024","Ontario","2016A000235","Men+","75 to 79 years","Persons","249","units","0","v468832","7.2.87","268808","","","","0"
"2024","Ontario","2016A000235","Men+","80 to 84 years","Persons","249","units","0","v468835","7.2.88","163179","","","","0"
"2024","Ontario","2016A000235","Men+","85 to 89 years","Persons","249","units","0","v468838","7.2.89","90188","","","","0"
"2024","Ontario","2016A000235","Men+","90 to 94 years","Persons","249","units","0","v31226771","7.2.126","37390","","","","0"
"2024","Ontario","2016A000235","Men+","95 to 99 years","Persons","249","units","0","v31226777","7.2.132","8441","","","","0"
"2024","Ontario","2016A000235","Men+","100 years and older","Persons","249","units","0","v31226783","7.2.138","904","","","","0"
"2024","Ontario","2016A000235","Men+","Median age","Years","308","units","0","v468580","7.2.105","38.1","","","","1"


