"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Quebec","2016A000224","Men+","All ages","Persons","249","units","0","v468244","6.2.1","4552679","","","","0"
"2024","Quebec","2016A000224","Men+","0 to 4 years","Persons","249","units","0","v468460","6.2.7","215749","","","","0"
"2024","Quebec","2016A000224","Men+","5 to 9 years","Persons","249","units","0","v468274","6.2.13","243062","","","","0"
"2024","Quebec","2016A000224","Men+","10 to 14 years","Persons","249","units","0","v468292","6.2.19","254413","","","","0"
"2024","Quebec","2016A000224","Men+","15 to 19 years","Persons","249","units","0","v468313","6.2.25","246592","","","","0"
"2024","Quebec","2016A000224","Men+","20 to 24 years","Persons","249","units","0","v468334","6.2.31","268775","","","","0"
"2024","Quebec","2016A000224","Men+","25 to 29 years","Persons","249","units","0","v468352","6.2.37","307611","","","","0"
"2024","Quebec","2016A000224","Men+","30 to 34 years","Persons","249","units","0","v468373","6.2.43","335478","","","","0"
"2024","Quebec","2016A000224","Men+","35 to 39 years","Persons","249","units","0","v468391","6.2.49","309552","","","","0"
"2024","Quebec","2016A000224","Men+","40 to 44 years","Persons","249","units","0","v468412","6.2.55","319425","","","","0"
"2024","Quebec","2016A000224","Men+","45 to 49 years","Persons","249","units","0","v468433","6.2.61","299096","","","","0"
"2024","Quebec","2016A000224","Men+","50 to 54 years","Persons","249","units","0","v468451","6.2.67","267318","","","","0"
"2024","Quebec","2016A000224","Men+","55 to 59 years","Persons","249","units","0","v468472","6.2.73","281461","","","","0"
"2024","Quebec","2016A000224","Men+","60 to 64 years","Persons","249","units","0","v468490","6.2.79","315225","","","","0"
"2024","Quebec","2016A000224","Men+","65 to 69 years","Persons","249","units","0","v468511","6.2.85","289400","","","","0"
"2024","Quebec","2016A000224","Men+","70 to 74 years","Persons","249","units","0","v468514","6.2.86","231044","","","","0"
"2024","Quebec","2016A000224","Men+","75 to 79 years","Persons","249","units","0","v468517","6.2.87","179357","","","","0"
"2024","Quebec","2016A000224","Men+","80 to 84 years","Persons","249","units","0","v468520","6.2.88","108945","","","","0"
"2024","Quebec","2016A000224","Men+","85 to 89 years","Persons","249","units","0","v468523","6.2.89","53337","","","","0"
"2024","Quebec","2016A000224","Men+","90 to 94 years","Persons","249","units","0","v31226732","6.2.126","21651","","","","0"
"2024","Quebec","2016A000224","Men+","95 to 99 years","Persons","249","units","0","v31226738","6.2.132","4745","","","","0"
"2024","Quebec","2016A000224","Men+","100 years and older","Persons","249","units","0","v31226744","6.2.138","443","","","","0"
"2024","Quebec","2016A000224","Men+","Median age","Years","308","units","0","v468265","6.2.105","41.5","","","","1"


