"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Manitoba","2016A000246","Women+","All ages","Persons","249","units","0","v468875","8.3.1","738624","","","","0"
"2024","Manitoba","2016A000246","Women+","0 to 4 years","Persons","249","units","0","v469091","8.3.7","40347","","","","0"
"2024","Manitoba","2016A000246","Women+","5 to 9 years","Persons","249","units","0","v468905","8.3.13","45133","","","","0"
"2024","Manitoba","2016A000246","Women+","10 to 14 years","Persons","249","units","0","v468923","8.3.19","44816","","","","0"
"2024","Manitoba","2016A000246","Women+","15 to 19 years","Persons","249","units","0","v468944","8.3.25","44410","","","","0"
"2024","Manitoba","2016A000246","Women+","20 to 24 years","Persons","249","units","0","v468965","8.3.31","51852","","","","0"
"2024","Manitoba","2016A000246","Women+","25 to 29 years","Persons","249","units","0","v468983","8.3.37","54224","","","","0"
"2024","Manitoba","2016A000246","Women+","30 to 34 years","Persons","249","units","0","v469004","8.3.43","52050","","","","0"
"2024","Manitoba","2016A000246","Women+","35 to 39 years","Persons","249","units","0","v469022","8.3.49","51018","","","","0"
"2024","Manitoba","2016A000246","Women+","40 to 44 years","Persons","249","units","0","v469043","8.3.55","48739","","","","0"
"2024","Manitoba","2016A000246","Women+","45 to 49 years","Persons","249","units","0","v469064","8.3.61","43688","","","","0"
"2024","Manitoba","2016A000246","Women+","50 to 54 years","Persons","249","units","0","v469082","8.3.67","41033","","","","0"
"2024","Manitoba","2016A000246","Women+","55 to 59 years","Persons","249","units","0","v469103","8.3.73","40639","","","","0"
"2024","Manitoba","2016A000246","Women+","60 to 64 years","Persons","249","units","0","v469121","8.3.79","44917","","","","0"
"2024","Manitoba","2016A000246","Women+","65 to 69 years","Persons","249","units","0","v469142","8.3.85","40644","","","","0"
"2024","Manitoba","2016A000246","Women+","70 to 74 years","Persons","249","units","0","v469145","8.3.86","33584","","","","0"
"2024","Manitoba","2016A000246","Women+","75 to 79 years","Persons","249","units","0","v469148","8.3.87","25962","","","","0"
"2024","Manitoba","2016A000246","Women+","80 to 84 years","Persons","249","units","0","v469151","8.3.88","16622","","","","0"
"2024","Manitoba","2016A000246","Women+","85 to 89 years","Persons","249","units","0","v469154","8.3.89","10527","","","","0"
"2024","Manitoba","2016A000246","Women+","90 to 94 years","Persons","249","units","0","v31226823","8.3.126","5879","","","","0"
"2024","Manitoba","2016A000246","Women+","95 to 99 years","Persons","249","units","0","v31226829","8.3.132","2120","","","","0"
"2024","Manitoba","2016A000246","Women+","100 years and older","Persons","249","units","0","v31226835","8.3.138","420","","","","0"
"2024","Manitoba","2016A000246","Women+","Median age","Years","308","units","0","v468896","8.3.105","38.6","","","","1"


