"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Ontario","2016A000235","Women+","All ages","Persons","249","units","0","v468560","7.3.1","8086905","","","","0"
"2024","Ontario","2016A000235","Women+","0 to 4 years","Persons","249","units","0","v468776","7.3.7","349165","","","","0"
"2024","Ontario","2016A000235","Women+","5 to 9 years","Persons","249","units","0","v468590","7.3.13","394472","","","","0"
"2024","Ontario","2016A000235","Women+","10 to 14 years","Persons","249","units","0","v468608","7.3.19","408300","","","","0"
"2024","Ontario","2016A000235","Women+","15 to 19 years","Persons","249","units","0","v468629","7.3.25","439206","","","","0"
"2024","Ontario","2016A000235","Women+","20 to 24 years","Persons","249","units","0","v468650","7.3.31","549338","","","","0"
"2024","Ontario","2016A000235","Women+","25 to 29 years","Persons","249","units","0","v468668","7.3.37","612065","","","","0"
"2024","Ontario","2016A000235","Women+","30 to 34 years","Persons","249","units","0","v468689","7.3.43","616509","","","","0"
"2024","Ontario","2016A000235","Women+","35 to 39 years","Persons","249","units","0","v468707","7.3.49","563113","","","","0"
"2024","Ontario","2016A000235","Women+","40 to 44 years","Persons","249","units","0","v468728","7.3.55","520634","","","","0"
"2024","Ontario","2016A000235","Women+","45 to 49 years","Persons","249","units","0","v468749","7.3.61","488599","","","","0"
"2024","Ontario","2016A000235","Women+","50 to 54 years","Persons","249","units","0","v468767","7.3.67","496581","","","","0"
"2024","Ontario","2016A000235","Women+","55 to 59 years","Persons","249","units","0","v468788","7.3.73","508374","","","","0"
"2024","Ontario","2016A000235","Women+","60 to 64 years","Persons","249","units","0","v468806","7.3.79","535325","","","","0"
"2024","Ontario","2016A000235","Women+","65 to 69 years","Persons","249","units","0","v468827","7.3.85","471715","","","","0"
"2024","Ontario","2016A000235","Women+","70 to 74 years","Persons","249","units","0","v468830","7.3.86","389597","","","","0"
"2024","Ontario","2016A000235","Women+","75 to 79 years","Persons","249","units","0","v468833","7.3.87","311675","","","","0"
"2024","Ontario","2016A000235","Women+","80 to 84 years","Persons","249","units","0","v468836","7.3.88","204511","","","","0"
"2024","Ontario","2016A000235","Women+","85 to 89 years","Persons","249","units","0","v468839","7.3.89","131145","","","","0"
"2024","Ontario","2016A000235","Women+","90 to 94 years","Persons","249","units","0","v31226784","7.3.126","69442","","","","0"
"2024","Ontario","2016A000235","Women+","95 to 99 years","Persons","249","units","0","v31226790","7.3.132","23361","","","","0"
"2024","Ontario","2016A000235","Women+","100 years and older","Persons","249","units","0","v31226796","7.3.138","3778","","","","0"
"2024","Ontario","2016A000235","Women+","Median age","Years","308","units","0","v468581","7.3.105","41.0","","","","1"


