"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Quebec","2016A000224","Women+","All ages","Persons","249","units","0","v468245","6.3.1","4503365","","","","0"
"2024","Quebec","2016A000224","Women+","0 to 4 years","Persons","249","units","0","v468461","6.3.7","204384","","","","0"
"2024","Quebec","2016A000224","Women+","5 to 9 years","Persons","249","units","0","v468275","6.3.13","230117","","","","0"
"2024","Quebec","2016A000224","Women+","10 to 14 years","Persons","249","units","0","v468293","6.3.19","242549","","","","0"
"2024","Quebec","2016A000224","Women+","15 to 19 years","Persons","249","units","0","v468314","6.3.25","235650","","","","0"
"2024","Quebec","2016A000224","Women+","20 to 24 years","Persons","249","units","0","v468335","6.3.31","249895","","","","0"
"2024","Quebec","2016A000224","Women+","25 to 29 years","Persons","249","units","0","v468353","6.3.37","280305","","","","0"
"2024","Quebec","2016A000224","Women+","30 to 34 years","Persons","249","units","0","v468374","6.3.43","309281","","","","0"
"2024","Quebec","2016A000224","Women+","35 to 39 years","Persons","249","units","0","v468392","6.3.49","291735","","","","0"
"2024","Quebec","2016A000224","Women+","40 to 44 years","Persons","249","units","0","v468413","6.3.55","303053","","","","0"
"2024","Quebec","2016A000224","Women+","45 to 49 years","Persons","249","units","0","v468434","6.3.61","286960","","","","0"
"2024","Quebec","2016A000224","Women+","50 to 54 years","Persons","249","units","0","v468452","6.3.67","258993","","","","0"
"2024","Quebec","2016A000224","Women+","55 to 59 years","Persons","249","units","0","v468473","6.3.73","275930","","","","0"
"2024","Quebec","2016A000224","Women+","60 to 64 years","Persons","249","units","0","v468491","6.3.79","314491","","","","0"
"2024","Quebec","2016A000224","Women+","65 to 69 years","Persons","249","units","0","v468512","6.3.85","299322","","","","0"
"2024","Quebec","2016A000224","Women+","70 to 74 years","Persons","249","units","0","v468515","6.3.86","245855","","","","0"
"2024","Quebec","2016A000224","Women+","75 to 79 years","Persons","249","units","0","v468518","6.3.87","199111","","","","0"
"2024","Quebec","2016A000224","Women+","80 to 84 years","Persons","249","units","0","v468521","6.3.88","133792","","","","0"
"2024","Quebec","2016A000224","Women+","85 to 89 years","Persons","249","units","0","v468524","6.3.89","80253","","","","0"
"2024","Quebec","2016A000224","Women+","90 to 94 years","Persons","249","units","0","v31226745","6.3.126","44754","","","","0"
"2024","Quebec","2016A000224","Women+","95 to 99 years","Persons","249","units","0","v31226751","6.3.132","14758","","","","0"
"2024","Quebec","2016A000224","Women+","100 years and older","Persons","249","units","0","v31226757","6.3.138","2177","","","","0"
"2024","Quebec","2016A000224","Women+","Median age","Years","308","units","0","v468266","6.3.105","43.5","","","","1"


