"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Alberta","2016A000248","Total - gender","All ages","Persons","249","units","0","v469503","10.1.1","4888723","","","","0"
"2024","Alberta","2016A000248","Total - gender","0 to 4 years","Persons","249","units","0","v469719","10.1.7","259606","","","","0"
"2024","Alberta","2016A000248","Total - gender","5 to 9 years","Persons","249","units","0","v469533","10.1.13","302915","","","","0"
"2024","Alberta","2016A000248","Total - gender","10 to 14 years","Persons","249","units","0","v469551","10.1.19","305137","","","","0"
"2024","Alberta","2016A000248","Total - gender","15 to 19 years","Persons","249","units","0","v469572","10.1.25","299957","","","","0"
"2024","Alberta","2016A000248","Total - gender","20 to 24 years","Persons","249","units","0","v469593","10.1.31","309865","","","","0"
"2024","Alberta","2016A000248","Total - gender","25 to 29 years","Persons","249","units","0","v469611","10.1.37","343555","","","","0"
"2024","Alberta","2016A000248","Total - gender","30 to 34 years","Persons","249","units","0","v469632","10.1.43","385718","","","","0"
"2024","Alberta","2016A000248","Total - gender","35 to 39 years","Persons","249","units","0","v469650","10.1.49","399049","","","","0"
"2024","Alberta","2016A000248","Total - gender","40 to 44 years","Persons","249","units","0","v469671","10.1.55","377948","","","","0"
"2024","Alberta","2016A000248","Total - gender","45 to 49 years","Persons","249","units","0","v469692","10.1.61","321388","","","","0"
"2024","Alberta","2016A000248","Total - gender","50 to 54 years","Persons","249","units","0","v469710","10.1.67","288283","","","","0"
"2024","Alberta","2016A000248","Total - gender","55 to 59 years","Persons","249","units","0","v469731","10.1.73","268491","","","","0"
"2024","Alberta","2016A000248","Total - gender","60 to 64 years","Persons","249","units","0","v469749","10.1.79","286101","","","","0"
"2024","Alberta","2016A000248","Total - gender","65 to 69 years","Persons","249","units","0","v469770","10.1.85","255277","","","","0"
"2024","Alberta","2016A000248","Total - gender","70 to 74 years","Persons","249","units","0","v469773","10.1.86","191213","","","","0"
"2024","Alberta","2016A000248","Total - gender","75 to 79 years","Persons","249","units","0","v469776","10.1.87","136106","","","","0"
"2024","Alberta","2016A000248","Total - gender","80 to 84 years","Persons","249","units","0","v469779","10.1.88","81741","","","","0"
"2024","Alberta","2016A000248","Total - gender","85 to 89 years","Persons","249","units","0","v469782","10.1.89","46904","","","","0"
"2024","Alberta","2016A000248","Total - gender","90 to 94 years","Persons","249","units","0","v31226875","10.1.126","22362","","","","0"
"2024","Alberta","2016A000248","Total - gender","95 to 99 years","Persons","249","units","0","v31226881","10.1.132","6142","","","","0"
"2024","Alberta","2016A000248","Total - gender","100 years and older","Persons","249","units","0","v31226887","10.1.138","965","","","","0"
"2024","Alberta","2016A000248","Total - gender","Median age","Years","308","units","0","v469524","10.1.105","38.0","","","","1"


