"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","British Columbia","2016A000259","Total - gender","All ages","Persons","249","units","0","v469818","11.1.1","5698430","","","","0"
"2024","British Columbia","2016A000259","Total - gender","0 to 4 years","Persons","249","units","0","v470034","11.1.7","218306","","","","0"
"2024","British Columbia","2016A000259","Total - gender","5 to 9 years","Persons","249","units","0","v469848","11.1.13","260781","","","","0"
"2024","British Columbia","2016A000259","Total - gender","10 to 14 years","Persons","249","units","0","v469866","11.1.19","273832","","","","0"
"2024","British Columbia","2016A000259","Total - gender","15 to 19 years","Persons","249","units","0","v469887","11.1.25","302897","","","","0"
"2024","British Columbia","2016A000259","Total - gender","20 to 24 years","Persons","249","units","0","v469908","11.1.31","381444","","","","0"
"2024","British Columbia","2016A000259","Total - gender","25 to 29 years","Persons","249","units","0","v469926","11.1.37","439065","","","","0"
"2024","British Columbia","2016A000259","Total - gender","30 to 34 years","Persons","249","units","0","v469947","11.1.43","467607","","","","0"
"2024","British Columbia","2016A000259","Total - gender","35 to 39 years","Persons","249","units","0","v469965","11.1.49","432575","","","","0"
"2024","British Columbia","2016A000259","Total - gender","40 to 44 years","Persons","249","units","0","v469986","11.1.55","395734","","","","0"
"2024","British Columbia","2016A000259","Total - gender","45 to 49 years","Persons","249","units","0","v470007","11.1.61","344072","","","","0"
"2024","British Columbia","2016A000259","Total - gender","50 to 54 years","Persons","249","units","0","v470025","11.1.67","341771","","","","0"
"2024","British Columbia","2016A000259","Total - gender","55 to 59 years","Persons","249","units","0","v470046","11.1.73","341779","","","","0"
"2024","British Columbia","2016A000259","Total - gender","60 to 64 years","Persons","249","units","0","v470064","11.1.79","371221","","","","0"
"2024","British Columbia","2016A000259","Total - gender","65 to 69 years","Persons","249","units","0","v470085","11.1.85","344441","","","","0"
"2024","British Columbia","2016A000259","Total - gender","70 to 74 years","Persons","249","units","0","v470088","11.1.86","288786","","","","0"
"2024","British Columbia","2016A000259","Total - gender","75 to 79 years","Persons","249","units","0","v470091","11.1.87","222984","","","","0"
"2024","British Columbia","2016A000259","Total - gender","80 to 84 years","Persons","249","units","0","v470094","11.1.88","139460","","","","0"
"2024","British Columbia","2016A000259","Total - gender","85 to 89 years","Persons","249","units","0","v470097","11.1.89","80425","","","","0"
"2024","British Columbia","2016A000259","Total - gender","90 to 94 years","Persons","249","units","0","v31226914","11.1.126","38322","","","","0"
"2024","British Columbia","2016A000259","Total - gender","95 to 99 years","Persons","249","units","0","v31226920","11.1.132","11200","","","","0"
"2024","British Columbia","2016A000259","Total - gender","100 years and older","Persons","249","units","0","v31226926","11.1.138","1728","","","","0"
"2024","British Columbia","2016A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","40.9","","","","1"


