"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Manitoba","2016A000246","Total - gender","All ages","Persons","249","units","0","v468873","8.1.1","1494301","","","","0"
"2024","Manitoba","2016A000246","Total - gender","0 to 4 years","Persons","249","units","0","v469089","8.1.7","82281","","","","0"
"2024","Manitoba","2016A000246","Total - gender","5 to 9 years","Persons","249","units","0","v468903","8.1.13","92810","","","","0"
"2024","Manitoba","2016A000246","Total - gender","10 to 14 years","Persons","249","units","0","v468921","8.1.19","92679","","","","0"
"2024","Manitoba","2016A000246","Total - gender","15 to 19 years","Persons","249","units","0","v468942","8.1.25","92301","","","","0"
"2024","Manitoba","2016A000246","Total - gender","20 to 24 years","Persons","249","units","0","v468963","8.1.31","111569","","","","0"
"2024","Manitoba","2016A000246","Total - gender","25 to 29 years","Persons","249","units","0","v468981","8.1.37","117972","","","","0"
"2024","Manitoba","2016A000246","Total - gender","30 to 34 years","Persons","249","units","0","v469002","8.1.43","108963","","","","0"
"2024","Manitoba","2016A000246","Total - gender","35 to 39 years","Persons","249","units","0","v469020","8.1.49","104481","","","","0"
"2024","Manitoba","2016A000246","Total - gender","40 to 44 years","Persons","249","units","0","v469041","8.1.55","99162","","","","0"
"2024","Manitoba","2016A000246","Total - gender","45 to 49 years","Persons","249","units","0","v469062","8.1.61","88518","","","","0"
"2024","Manitoba","2016A000246","Total - gender","50 to 54 years","Persons","249","units","0","v469080","8.1.67","82273","","","","0"
"2024","Manitoba","2016A000246","Total - gender","55 to 59 years","Persons","249","units","0","v469101","8.1.73","80610","","","","0"
"2024","Manitoba","2016A000246","Total - gender","60 to 64 years","Persons","249","units","0","v469119","8.1.79","89167","","","","0"
"2024","Manitoba","2016A000246","Total - gender","65 to 69 years","Persons","249","units","0","v469140","8.1.85","79798","","","","0"
"2024","Manitoba","2016A000246","Total - gender","70 to 74 years","Persons","249","units","0","v469143","8.1.86","64034","","","","0"
"2024","Manitoba","2016A000246","Total - gender","75 to 79 years","Persons","249","units","0","v469146","8.1.87","48492","","","","0"
"2024","Manitoba","2016A000246","Total - gender","80 to 84 years","Persons","249","units","0","v469149","8.1.88","29814","","","","0"
"2024","Manitoba","2016A000246","Total - gender","85 to 89 years","Persons","249","units","0","v469152","8.1.89","17465","","","","0"
"2024","Manitoba","2016A000246","Total - gender","90 to 94 years","Persons","249","units","0","v31226797","8.1.126","8589","","","","0"
"2024","Manitoba","2016A000246","Total - gender","95 to 99 years","Persons","249","units","0","v31226803","8.1.132","2810","","","","0"
"2024","Manitoba","2016A000246","Total - gender","100 years and older","Persons","249","units","0","v31226809","8.1.138","513","","","","0"
"2024","Manitoba","2016A000246","Total - gender","Median age","Years","308","units","0","v468894","8.1.105","37.3","","","","1"


