"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Ontario","2016A000235","Total - gender","All ages","Persons","249","units","0","v468558","7.1.1","16124116","","","","0"
"2024","Ontario","2016A000235","Total - gender","0 to 4 years","Persons","249","units","0","v468774","7.1.7","714630","","","","0"
"2024","Ontario","2016A000235","Total - gender","5 to 9 years","Persons","249","units","0","v468588","7.1.13","809359","","","","0"
"2024","Ontario","2016A000235","Total - gender","10 to 14 years","Persons","249","units","0","v468606","7.1.19","840013","","","","0"
"2024","Ontario","2016A000235","Total - gender","15 to 19 years","Persons","249","units","0","v468627","7.1.25","913889","","","","0"
"2024","Ontario","2016A000235","Total - gender","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1174907","","","","0"
"2024","Ontario","2016A000235","Total - gender","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1288977","","","","0"
"2024","Ontario","2016A000235","Total - gender","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1273694","","","","0"
"2024","Ontario","2016A000235","Total - gender","35 to 39 years","Persons","249","units","0","v468705","7.1.49","1145753","","","","0"
"2024","Ontario","2016A000235","Total - gender","40 to 44 years","Persons","249","units","0","v468726","7.1.55","1041737","","","","0"
"2024","Ontario","2016A000235","Total - gender","45 to 49 years","Persons","249","units","0","v468747","7.1.61","958119","","","","0"
"2024","Ontario","2016A000235","Total - gender","50 to 54 years","Persons","249","units","0","v468765","7.1.67","966072","","","","0"
"2024","Ontario","2016A000235","Total - gender","55 to 59 years","Persons","249","units","0","v468786","7.1.73","992074","","","","0"
"2024","Ontario","2016A000235","Total - gender","60 to 64 years","Persons","249","units","0","v468804","7.1.79","1050764","","","","0"
"2024","Ontario","2016A000235","Total - gender","65 to 69 years","Persons","249","units","0","v468825","7.1.85","908331","","","","0"
"2024","Ontario","2016A000235","Total - gender","70 to 74 years","Persons","249","units","0","v468828","7.1.86","732975","","","","0"
"2024","Ontario","2016A000235","Total - gender","75 to 79 years","Persons","249","units","0","v468831","7.1.87","580483","","","","0"
"2024","Ontario","2016A000235","Total - gender","80 to 84 years","Persons","249","units","0","v468834","7.1.88","367690","","","","0"
"2024","Ontario","2016A000235","Total - gender","85 to 89 years","Persons","249","units","0","v468837","7.1.89","221333","","","","0"
"2024","Ontario","2016A000235","Total - gender","90 to 94 years","Persons","249","units","0","v31226758","7.1.126","106832","","","","0"
"2024","Ontario","2016A000235","Total - gender","95 to 99 years","Persons","249","units","0","v31226764","7.1.132","31802","","","","0"
"2024","Ontario","2016A000235","Total - gender","100 years and older","Persons","249","units","0","v31226770","7.1.138","4682","","","","0"
"2024","Ontario","2016A000235","Total - gender","Median age","Years","308","units","0","v468579","7.1.105","39.6","","","","1"


