"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Quebec","2016A000224","Total - gender","All ages","Persons","249","units","0","v468243","6.1.1","9056044","","","","0"
"2024","Quebec","2016A000224","Total - gender","0 to 4 years","Persons","249","units","0","v468459","6.1.7","420133","","","","0"
"2024","Quebec","2016A000224","Total - gender","5 to 9 years","Persons","249","units","0","v468273","6.1.13","473179","","","","0"
"2024","Quebec","2016A000224","Total - gender","10 to 14 years","Persons","249","units","0","v468291","6.1.19","496962","","","","0"
"2024","Quebec","2016A000224","Total - gender","15 to 19 years","Persons","249","units","0","v468312","6.1.25","482242","","","","0"
"2024","Quebec","2016A000224","Total - gender","20 to 24 years","Persons","249","units","0","v468333","6.1.31","518670","","","","0"
"2024","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","587916","","","","0"
"2024","Quebec","2016A000224","Total - gender","30 to 34 years","Persons","249","units","0","v468372","6.1.43","644759","","","","0"
"2024","Quebec","2016A000224","Total - gender","35 to 39 years","Persons","249","units","0","v468390","6.1.49","601287","","","","0"
"2024","Quebec","2016A000224","Total - gender","40 to 44 years","Persons","249","units","0","v468411","6.1.55","622478","","","","0"
"2024","Quebec","2016A000224","Total - gender","45 to 49 years","Persons","249","units","0","v468432","6.1.61","586056","","","","0"
"2024","Quebec","2016A000224","Total - gender","50 to 54 years","Persons","249","units","0","v468450","6.1.67","526311","","","","0"
"2024","Quebec","2016A000224","Total - gender","55 to 59 years","Persons","249","units","0","v468471","6.1.73","557391","","","","0"
"2024","Quebec","2016A000224","Total - gender","60 to 64 years","Persons","249","units","0","v468489","6.1.79","629716","","","","0"
"2024","Quebec","2016A000224","Total - gender","65 to 69 years","Persons","249","units","0","v468510","6.1.85","588722","","","","0"
"2024","Quebec","2016A000224","Total - gender","70 to 74 years","Persons","249","units","0","v468513","6.1.86","476899","","","","0"
"2024","Quebec","2016A000224","Total - gender","75 to 79 years","Persons","249","units","0","v468516","6.1.87","378468","","","","0"
"2024","Quebec","2016A000224","Total - gender","80 to 84 years","Persons","249","units","0","v468519","6.1.88","242737","","","","0"
"2024","Quebec","2016A000224","Total - gender","85 to 89 years","Persons","249","units","0","v468522","6.1.89","133590","","","","0"
"2024","Quebec","2016A000224","Total - gender","90 to 94 years","Persons","249","units","0","v31226719","6.1.126","66405","","","","0"
"2024","Quebec","2016A000224","Total - gender","95 to 99 years","Persons","249","units","0","v31226725","6.1.132","19503","","","","0"
"2024","Quebec","2016A000224","Total - gender","100 years and older","Persons","249","units","0","v31226731","6.1.138","2620","","","","0"
"2024","Quebec","2016A000224","Total - gender","Median age","Years","308","units","0","v468264","6.1.105","42.5","","","","1"


